Volumen,Filename,Fila,Transcripcion,Precio,Observaciones,Salto De Pagina
1,pagina_0016-OCR.json,8,Agricola (Rodolphus) De inventione dialectica 4º París 1538 14 24,24,,VERDADERO
1,pagina_0016-OCR.json,9,Agricola (Rodolphus) Ejusd. id. cum quorundam Comment. 4º 2 Colonia 1539 12 30,30,,VERDADERO
1,pagina_0016-OCR.json,10,Aguar (Juan de) Apología por la Cathedral del Pilar a Zaragoza 4º Zaragoza 1688 111 12,12,,VERDADERO
1,pagina_0016-OCR.json,11,Aguayo (D. Juan de Castilla) El perfecto Regidor 8º Salamanca 1586 39 24,24,,VERDADERO
1,pagina_0016-OCR.json,12,Águila (D. D. Pedro) Breve Satisfacción 4º Pamplona 1653 299 6,6,,VERDADERO
1,pagina_0016-OCR.json,13,Aguilar (Fr. Thomas) Breve Rethorica Traducido al Castellano 12º Hispani 1669 19 3,3,,VERDADERO
1,pagina_0016-OCR.json,14,Aguilar (Fr. Thomas) Ejusd. opuscula Grammaticalia 8º 2 Hispani 1668 Atado 3 8,8,,VERDADERO
1,pagina_0016-OCR.json,15,Aguilar (D. Manuel Benito Fiel) La literatura Española demostrada por D. Nicolás Ant. 8º Madrid 1787 214 4,4,,VERDADERO
1,pagina_0017-OCR.json,1,Aguilar (Conde de) Defensio de la Religiosidad de los Cavalleros Militares fol. Mad. 1731 Nº 151 12,12,,FALSO
1,pagina_0017-OCR.json,2,Aguileza (Joa) Canones Astrologici Universales 8º Salmanticae 1554 Nº 81 5,5,,VERDADERO
1,pagina_0017-OCR.json,3,Aguileza (Fr. Joseph) Tractatus Summulorum 42º 1720. Arado 17 4,4,,VERDADERO
1,pagina_0017-OCR.json,4,Aguilon (Pedro a) Historia del Duque Carlos de Borgoña 4º Pamplona 1587 Nº 124 20,20,,VERDADERO
1,pagina_0017-OCR.json,5,Aguiarre (Michaelis) Responsum de successione Regni Portugalliae fol. Smeting 1581 Nº 305 15,15,,VERDADERO
1,pagina_0017-OCR.json,6,Aguirre (P. Joaquin) Apologia de Virgilio 4º mad. 1704 Nº 20 6,6,,VERDADERO
1,pagina_0017-OCR.json,7,Aguirre (D. Diego) Vida de S. Domingo de Guzman en verso castellano 4º Mad. 1641 Nº 20 6,6,,VERDADERO
1,pagina_0017-OCR.json,8,Aguirre (Josef Saenz) Philosophia Moralium fol. 2 tom. 1 volum. Romae 1698 Nº 14 45,45,,VERDADERO
1,pagina_0017-OCR.json,9,Ejusdem Defensio Cathedrae S. Petri fol. Matriti 1683 Nº 268 45,45,,VERDADERO
1,pagina_0017-OCR.json,10,"Ejusdem Notitia Conciliorum Hispaniae, atq. novi orbis, et aliorum ad eam dem exemplarum 8º Salmant. 1686 Nº 227 6",6,,VERDADERO
1,pagina_0017-OCR.json,11,"Ejusdem Collectio Conciliorum omnium Hispaniae, et novi Orbis, cum notis, et dissertationibus fol. 6 tom. Romae 1753 Nº 266 700",700,,VERDADERO
1,pagina_0017-OCR.json,12,Aiora (D. Antonius) Deparationibus bonorum 4º Coloniae Allobrog 1734 Nº 227 15,15,,VERDADERO
1,pagina_0018-OCR.json,1,Aitzmeza (León) Historia Pacis Hollandiae 4.º Past. blanc. Lugduni 1654. Nº 187 40,40,,FALSO
1,pagina_0018-OCR.json,2,Ajofrín (Fr. Francisco de) Vida y Milagros del Venerable Lorenzo de Dávila 4.º Mad. 1784. Nº 194 16,16,,VERDADERO
1,pagina_0018-OCR.json,3,Ajofrín (Fr. Francisco de) Compendio de la vida de S. Fidel de Sigüenza 8.º Past. Mad. 1786. Nº 193 7,7,,VERDADERO
1,pagina_0018-OCR.json,4,"Alaba, y Viaront (D. Diego de) El perfecto Artillero fol. con fig. Mad. 1590. Nº 66 45",45,,VERDADERO
1,pagina_0018-OCR.json,5,Alagón (D. Antal Conde de Santiago) Concordia en las Leyes Divinas y Humanas 4.º Mad. 1593. Nº 13 12,12,,VERDADERO
1,pagina_0018-OCR.json,6,Alarcón (D. Antonio Suárez de) Commentarios a los hechos del V. Alarcón Marqués de la Valle Siciliana fol. Mad. 1665. Nº 35 40,40,,VERDADERO
1,pagina_0018-OCR.json,7,Alava et Eguivel (D. Didacus) De Conciliis universalibus fol. Gramatae 1552. Nº 268 15,15,,VERDADERO
1,pagina_0018-OCR.json,8,Albanus (Jo Hieron.) De Potestate Papae et Concilii 4.º Lugduni 1558. Nº 272 12,12,,VERDADERO
1,pagina_0018-OCR.json,9,Albanus (Jo Hieron.) Ejusd. De Cardinalatu libertate Sanct. tert. 4.º Romae 1541. Nº 303 10,10,,VERDADERO
1,pagina_0018-OCR.json,10,"Albertinus (Arnaldus) De agnoscendis Assertionibus Catholicis, et haereticis 4.º Romae 1572. Nº 186 15",15,,VERDADERO
1,pagina_0018-OCR.json,11,"Alberti, Florentin (Leon Bautista) Historia del Dios Momo traducida en Castellano por Agustín Almazán fol. Mad. 1553. Nº 10 45",45,,VERDADERO
1,pagina_0019-OCR.json,1,Albienis (Petri Gillii) Nova descriptio elephantis 12º Nº147 4,4,,FALSO
1,pagina_0019-OCR.json,2,Albornoz (Card.) Aegidiana constitutiones cum additionibus Caballini Venet. 1571 35 40,40,,VERDADERO
1,pagina_0019-OCR.json,3,"Albornoz (D. Diego) Cartilla política, y christiana 4º Mad. 1666 252 40",40,,VERDADERO
1,pagina_0019-OCR.json,4,Alburquerque (Alfonso) Sin comentarios Lisboa 1576 131 36,36,,VERDADERO
1,pagina_0019-OCR.json,5,Alburquerque Coello (Duarte) Memorias diarias de la Guerra al Brasil 4º Mad. 1654 157 24,24,,VERDADERO
1,pagina_0019-OCR.json,6,Alburquerque (Francisco de) Discursos ofrecidos a la ocasión del Rey Dom. Joam Nosso Senhor 4º Lisboa 1641 220 15,15,,VERDADERO
1,pagina_0019-OCR.json,7,Alcagniciense (F. Thomas) Nueva Pragmática de reformación contra los abusos 12º Zaragoza 1635 315 6,6,,VERDADERO
1,pagina_0019-OCR.json,8,Alcaya Gramatica Arabe 4º 1808 40 12,12,,VERDADERO
1,pagina_0019-OCR.json,9,Alcala - Yáñez (D. D. Jeronimo de) El donadie hablador,16,,VERDADERO
1,pagina_0019-OCR.json,10,Alcazar (P. Bartolomei) Deratione dicendi 8º Matriti 1688 2 4,4,,VERDADERO
1,pagina_0019-OCR.json,11,"Alcazar El perfecto Latino en prosa, y verso 8º Mad. 1683 3 3",3,,VERDADERO
1,pagina_0019-OCR.json,12,Alcazar Id: Sida a S. Iulian Obispo de Cuenca fol. Madrid 1692 108 24,24,,VERDADERO
1,pagina_0019-OCR.json,13,Alcazar (D. Melchor) Arte de Equadrar 4º Madrid 1730 N. 68 15,15,,VERDADERO
1,pagina_0019-OCR.json,14,Alcedo (D. Antonio) Diccionario Geografico 4.944,,,VERDADERO
1,pagina_0020-OCR.json,1,las Indias Occidentales de America 4º,,,FALSO
1,pagina_0020-OCR.json,2,2 tom. Past. y Rust. Madrid 1786. Nº 188 32,32,,VERDADERO
1,pagina_0020-OCR.json,3,id. id. 4º Rustic. tom. 2º y 3º ibid. 1787 Atado 35 20,20,,VERDADERO
1,pagina_0020-OCR.json,4,Alcedo (Dn Dionisio) Memorial informativo sobre el Comercio del Perú: fol. Nº 66 20,20,,VERDADERO
1,pagina_0020-OCR.json,5,Alciati (Andreae) Emblemata. Comment. et notis variarum 4º Patavii 1621. Nº 14 36,36,,VERDADERO
1,pagina_0020-OCR.json,6,Ejusd. cad. cum. Claud. Minois comment. 8º Raphelengii 1608. Nº 113 18,18,,VERDADERO
1,pagina_0020-OCR.json,7,it. traducido al Castellano por D. Bernardino Daza. 8º 1549. Nº 6 12,12,,VERDADERO
1,pagina_0020-OCR.json,8,it. por D. Diego López 4º Nácer 1615. Nº 20 30,30,,VERDADERO
1,pagina_0020-OCR.json,9,Ejusdem opera omnia: fol. Pasta 4 tom. 2 volum. Basileæ 1551. Nº 285 180,180,,VERDADERO
1,pagina_0020-OCR.json,10,Ejusd. Paradoxorum ad Pratum libri sex 12º Lugd. 1545. Nº 250 8,8,,VERDADERO
1,pagina_0020-OCR.json,11,Ejusd. Consilium in materia Duelli: 12º ibid 1543. Nº 118 5,5,,VERDADERO
1,pagina_0020-OCR.json,12,Ejusd. Praecepta utriusque Juris 8º Nº 250 6,6,,VERDADERO
1,pagina_0020-OCR.json,13,id. Modo de Daño: 8º Amberes Nº 73 6,6,,VERDADERO
1,pagina_0020-OCR.json,14,Ejusd. Noticia utriusque Imperii: fol. Basileæ 1592. fig. Nº 86 45,45,,VERDADERO
1,pagina_0020-OCR.json,15,Alcocer (Dn Fran.) Tratado a Juego 4º Salamanca 1559. Nº 230 15,15,,VERDADERO
1,pagina_0020-OCR.json,16,Alcocer (Fr Juan) Ceremonial dela Misa 12º Lisboa 1616. Nº 118 12,12,,VERDADERO
1,pagina_0021-OCR.json,1,Alcocer (Pedro) Historia de la Ciudad de Toledo fol. Toledo 1554 132 36,36,,FALSO
1,pagina_0021-OCR.json,2,Aldana (Cosme de) Obras poéticas 8º Madrid 1593 4 6,6,,VERDADERO
1,pagina_0021-OCR.json,3,Alderete (D. Bernardo) Thesoro de la Lengua Castellana fol. Madrid 1765 85 90,90,,VERDADERO
1,pagina_0021-OCR.json,4,Aldebrandini (Cardinalis) De perfecto Principe Apophthegmata 12º 317 6,6,,VERDADERO
1,pagina_0021-OCR.json,5,"Alderete (D. D. Bernardo) Varias antigüedades de España, Africa, y otras Provincias 4º Amberes 1614 230 45",45,,VERDADERO
1,pagina_0021-OCR.json,6,Alderete (D. D. Bernardo) Del origen y principio de la lengua Castellana 4º Roma 1606 32 20,20,,VERDADERO
1,pagina_0021-OCR.json,7,Anónimo Alegacion Docta Fiscal en defensa del famoso Auto Gallego fol. 197 8,8,,VERDADERO
1,pagina_0021-OCR.json,8,Anónimo Alegaciones Varias sobre el Estado de Baylen pertenecientes à la Casa Ponce León 4º 1594 220 12,12,,VERDADERO
1,pagina_0021-OCR.json,9,Alegambi (Philippi) Biblioteca Scriptorum Societatis Jesu fol. Antuerp 1640 40 60,60,,VERDADERO
1,pagina_0021-OCR.json,10,Alemanni (Séni) Grammatica Arabica 4ª Part 4º Roma 1610 39 40,40,,VERDADERO
1,pagina_0021-OCR.json,11,Aleman (Matheo) Orthographia Castellana 4º México 1609 32 18,18,,VERDADERO
1,pagina_0021-OCR.json,12,"Aleman (Matheo) Vida, y hechos de Guzman de Alfarach 8º 2 Valencia 1787 101 20",20,,VERDADERO
1,pagina_0021-OCR.json,13,Alexandro (Alexandri ab) Genialium virorum libri sex 8º Parisiis 1570 101 15,15,,VERDADERO
1,pagina_0021-OCR.json,14,Alexandri (S. Natalis) Historia Ecclesiastica veteris novique Testamenti fol. 9 Lucae 1748 276 420,420,,VERDADERO
1,pagina_0021-OCR.json,15,Alfano (D. Franciscus) De officio Fisci fol. Matriti 1639 246 18,18,,VERDADERO
1,pagina_0022-OCR.json,1,Alfonsi (Petri) Dialogi de Judæorum impijs opinionibus 8º Coloniæ 1536 Nº 117 12,12,,FALSO
1,pagina_0022-OCR.json,2,Alfonsi Regis tabulæ Astronomicæ fol. Venet. 1521 Nº 40 18,18,,VERDADERO
1,pagina_0022-OCR.json,3,Alfonsi Cursus Caes. fol. Parisiis 1553 Nº 66 24,24,,VERDADERO
1,pagina_0022-OCR.json,4,"Allatius (Leonis) Excerpta varia Græcorum, Sophistarum ac Rhetorum 8º Par. blanc. Romæ 1641 Nº 25 20",20,,VERDADERO
1,pagina_0022-OCR.json,5,Allatius (Leonis) De Patria Homeri græcolatine 12º Lugd. 1640 Nº 117 10,10,,VERDADERO
1,pagina_0022-OCR.json,6,"Allatius (Leonis) Cursus Aper Sabanæ, sive de Vitiis Illustrib. 8º Pasta Hamburgi 1711 Nº 117 14",14,,VERDADERO
1,pagina_0022-OCR.json,7,Anonymous Allegatio Juris pro Rege catholico Philippo ad successionem Regnorum Portugalliae fol. Nº 305 10,10,,VERDADERO
1,pagina_0022-OCR.json,8,Almeida (P. Theodoro) El Hombre feliz 8º 3 Dupl. Pasta Madrid 1784 Nº 101 60,60,,VERDADERO
1,pagina_0022-OCR.json,9,Almeida (P. Theodoro) El Hombre feliz 8º 3 it. con Láminas 45,45,,VERDADERO
1,pagina_0022-OCR.json,10,Almeida (P. Theodoro) Sermone 8º 3 Pasta Mad. 1788 44,44,,VERDADERO
1,pagina_0022-OCR.json,11,Almeida (P. Theodoro) Cartas Filosóficas 8º 2 Mad. 1787 34,34,,VERDADERO
1,pagina_0022-OCR.json,12,Almeida (P. Theodoro) Recreación Filosófica 8º Mad. 1785 Nº 49 14,14,,VERDADERO
1,pagina_0022-OCR.json,13,"Almeida (P. Theodoro) Thesoro expaciencia, ó consuelo á una Alma atribulada 12º Pasta Madrid 1786 Nº 193 6",6,,VERDADERO
1,pagina_0022-OCR.json,14,Almeida (D. Manuel) Alegación y Memorial contra el Marqués de Aitona sobre ha…,,,VERDADERO
1,pagina_0023-OCR.json,1,ver echo degollar a Dn. Antonio de la ,,,FALSO
1,pagina_0023-OCR.json,2,Torre proovedor Genl. al Exercito 288 12,12,,VERDADERO
1,pagina_0023-OCR.json,3,"Almici (Joa-Dapt.) institutionis Juris naturalis, et Gentium. 4º Pasta Brixiae 1768. 228 20",20,,VERDADERO
1,pagina_0023-OCR.json,4,Almonacid (Fr. Joseph de) El Abulense ilustrado fol. Madrid 1673 108 24,24,,VERDADERO
1,pagina_0023-OCR.json,5,"Alamo.. El Sabio Rey Dn Las Siete Partidas, publicadas por Dn Joseph Perni, y Catalá: 8º Pasta 6.Tom. Valencia 1788. 229 140",140,,VERDADERO
1,pagina_0023-OCR.json,6,Vid. Alfoni,,,VERDADERO
1,pagina_0023-OCR.json,7,Dn Alomo Diaz Glosadas fol. mai. 2 tom. Leon 1850 233 120,120,,VERDADERO
1,pagina_0023-OCR.json,8,"Dn Alomo Diaz con su Glosa xensiones marginales à la recopilacion, notas &c. y un repertorio Sen! fol. mai. 4 tom. Salamanca 1565 233 300",300,,VERDADERO
1,pagina_0023-OCR.json,9,Alsedo y Herrera (Dn Dionisio) Compendio Historico de la Provincia de Guayalquil: 4º Mad. 1741 125 12,12,,VERDADERO
1,pagina_0023-OCR.json,10,Alsedo y Herrera (Dn Dionisio) otro exempl. dela misma edic. Pasta 212 15,15,,VERDADERO
1,pagina_0023-OCR.json,11,Altansixani (Dn Hieronimi) in tit. Cod. de Jus lit officiaii tractatus fol. Matriti 1648 288 15,15,,VERDADERO
1,pagina_0023-OCR.json,12,Altamixani (D.D. Jo) Comment. ad tert. J.C.Scaq volas 4º Cervariae 1739. 247 12,12,,VERDADERO
1,pagina_0023-OCR.json,13,Altamuxa (F. Ambrosii) Bibliotheca Dominicana fol. Rom. 1677 43 45,45,,VERDADERO
1,pagina_0023-OCR.json,14,Alteserra (Antonii Dadini) Comment. in Decreta (les 7.229,,,VERDADERO
1,pagina_0024-OCR.json,1,1 Paris. 1666. N° 265. 45,45,,FALSO
1,pagina_0024-OCR.json,2,"2 idem. De Origine, et statu Feudorum pro moribus Galliae. 4° Argentorati 1690. N° 301. 6",6,,VERDADERO
1,pagina_0024-OCR.json,3,3 ejusd. expositio in instit. Justin. 4° Parisiis 1666. N. 224. 20,20,,VERDADERO
1,pagina_0024-OCR.json,4,4 ejusd. Vindiciae Ecclesiar. Jurisdiction. 4° Pasta Parisiis 1702. N° 279. 30,30,,VERDADERO
1,pagina_0024-OCR.json,5,"5 ejusd. Notae, et observat. in X libros Hist. Francor. D. Greg. Episcop. Turon. et Supplementum Frederagii. 4° Tafelere Folosae 1679. N° 289. 36",36,,VERDADERO
1,pagina_0024-OCR.json,6,6 ejusd. id. 4° ibid 1669. Cod. N. 18,18,,VERDADERO
1,pagina_0024-OCR.json,7,"7 ejusd. Notae, et observationes in Anastasium De vitis Roman. Pontif. 4° Parisiis 1680. N° 289. 15",15,,VERDADERO
1,pagina_0024-OCR.json,8,8 ejusd. in Libros Clementinarum Comment. de instantiam de Scholis 4° Parisiis 1680. Cod. N. 15,15,,VERDADERO
1,pagina_0024-OCR.json,9,9 ejusd. Disputationes Jux. Canon. 42 tom. Folosae 1651. Cod. N. 32,32,,VERDADERO
1,pagina_0024-OCR.json,10,"10 id. De antiquis, et majorib. Episcoporum canis 4° Leodii 1678. Cod. N. 20",20,,VERDADERO
1,pagina_0024-OCR.json,11,11 ejusd. Recitationes quotidianae in Claud. Fxiphonii,24,,VERDADERO
1,pagina_0024-OCR.json,12,12 id. Defitionibus Jux. 4° Parisiis 1659. Cod. N. 12,12,,VERDADERO
1,pagina_0025-OCR.json,1,id De origine xei Monasticae 4º Parisiis 1674. Cod. N. 26 7.502,26,,FALSO
1,pagina_0025-OCR.json,2,id. Derebus Aquitanicis 4º Tolosae 1648. N. 289. 22 22,22,,VERDADERO
