autor_original	autor_normalizado
Alvarez (Dn Gaspar)	Alvarez (Dn Gaspar)
Alvarez (Dn Joaquin)	Alvarez (Dn Joaquin)
Alvarez (Manuel)	Alvarez (Manuel)
Alvarez Pegar (Em manuclis)	Alvarez Pegar (Em manuclis)
Alvarez... Rivera (Franc.)	Alvarez Rivera (Franc.)
Alvarez, y Daena (Dn Joseph Antonio)	Alvarez y Daena (Dn Joseph Antonio)
Alvaro (Ytimo S. D. Iuan)	Alvaro (Ytimo S D Iuan)
Alvaxi (Emm)	Alvaxi (Emm)
Alvaxi (Pelagii)	Alvaxi (Pelagii)
Alveixia (Gentilis)	Alveixia (Gentilis)
Amada (D. Joseph Fchis de)	Amada (D Joseph Fchis de)
Amaia.. (Dn Franco)	Amaia (Dn Franco)
Amar... (D. Joseph)	Amar (D Joseph)
Amarrio (Juan Bautista)	Amarrio (Juan Bautista)
Ambergeri (Laurent. And.)	Ambergeri (Laurent And.)
Amitii... (Paul)	Amitii (Paul)
Amizati.. (Scipioni)	Amizati (Scipioni)
Ammar (Joanne Paulo)	Ammar (Joanne Paulo)
Amort. (Eusebio)	Amort (Eusebio)
Ampelis.. (duci)	Ampelis (duci)
Amucua.. (Dn Baltas.)	Amucua (Dn Baltas.)
Anaya (D. Mariano)	Anaya (D Mariano)
Anazarbei (Dionysius)	Anazarbei (Dionysius)
Ancina (P. Daniel)	Ancina (P Daniel)
Ancona (Augustinus)	Ancona (Agustín)
Andosilla (Martini)	Andosilla (Martini)
Andrada (Diego de Payva de)	Andrada (Diego de Payva de)
Andrada (Pedro Fernandez de)	Andrada (Pedro Fernandez de)
Andrade (P. Alonso de)	Andrade (P Alonso de)
Andrea (Alexandro)	Andrea (Alexandro)
Andreae (Valerii)	Andreae (Valerii)
Andres (D. Juan)	Andres (D Juan)
Andres (D. Juan Francisco)	Andres (D Juan Francisco)
Andres (El Abate D. Juan)	Andres (El Abate D Juan)
Angeli (Fr. Bernardinus ab)	Angeli (Fr Bernardinus ab)
Angleria (Petri Martini de)	Angleria (Pedro Martini de)
Angulo (Andreae)	Angulo (Andreae)
Angulo (Dn Martin)	Angulo (Dn Martin)
Angulo y Pulgar (Dn Martin)	Angulo y Pulgar (Dn Martin)
Anjaldium (P. Cartus)	Anjaldium (P Cartus)
[Anónimo]	[Anónimo]
Ansaldo (Dn Francisco)	Ansaldo (Dn Francisco)
Anselme (Le R. P.)	Anselme (Le R P.)
Antiqui (To.)	Antiqui (To.)
Antoninus (Maxciy)	Antoninus (Maxciy)
Antonio (D. Nicolás)	Antonio (D Nicolás)
Antonio de Ayala (R.P.)	Antonio de Ayala (R.P.)
Antunez (D. Dominici)	Antunez (D Dominici)
Anxaiguez (Hernianus Georgius)	Anxaiguez (Hernianus Jorge)
Aobortelij (Franc.)	Aobortelij (Franc.)
Aphrodising (Alexis)	Aphrodising (Alexis)
Apiano (Pedro)	Apiano (Pedro)
Apollinaris (Cassiodori)	Apollinaris (Cassiodori)
Appianus (Alexandrinus)	Appianus (Alexandrinus)
Appilloni (Thomas)	Appilloni (Tomás)
Apulei (Lucii)	Apulei (Lucii)
Aquilgienis (Pauli)	Aquilgienis (Pablo)
Aquino (S. Thomas a)	Aquino (S Tomás a)
Aracena (Fr. Gonzalo)	Aracena (Fr Gonzalo)
Arango (D. Juan)	Arango (D Juan)
Aranyi (Pedro)	Aranyi (Pedro)
Arau (D. Juan)	Arau (D Juan)
Arau de Borrey (D. Gomez)	Arau de Borrey (D Gomez)
Arau de Mierey (D. Gomez)	Arau de Mierey (D Gomez)
Araujo (Hmi Dn Francisco)	Araujo (Hmi Dn Francisco)
Arcimiega (R.P. F.manuel)	Arcimiega (R.P F.manuel)
Arcos (Dn. Joseph)	Arcos (Dn Joseph)
Arcos (Dn. Juan)	Arcos (Dn Juan)
Arcos (El Duque)	Arcos (El)
Ardemani (Dn. Theodoro)	Ardemani (Dn Theodoro)
Aretino (Pietro)	Aretino (Pietro)
Argaiz (Fr. Gregorio)	Argaiz (Fr Gregorio)
Argensola (Bartolomé Leonardo de)	Argensola (Bartolomé Leonardo de)
Argenteri (Jo.)	Argenteri (Jo.)
Argote de Molina (Gonzalo)	Argote de Molina (Gonzalo)
Argüelles (D. Juan Manuel)	Argüelles (D Juan Manuel)
Argumosa (Dr. Theodoro)	Argumosa (Dr Theodoro)
Arias Montano (Benedicti)	Arias Montano (Benedicti)
Ariegger (Pan Jose)	Ariegger (Pan Jose)
Ariosto (Ludovico)	Ariosto (Ludovico)
Armacano (Alexi)	Armacano (Alexi)
Armaña (Dº Francisco)	Armaña (Dº Francisco)
Armelot.. (Mr.)	Armelot (Mr.)
Arnaldo (D. Antonio)	Arnaldo (D Antonio)
Arnaud (Georgis De)	Arnaud (Georgis De)
Arnaud (Mr.)	Arnaud (Mr.)
Arnissius (Henningius)	Arnissius (Henningius)
Arnobius (Afric.)	Arnobius (Afric.)
Arnold, y Suárd (el Sr.)	Arnold y Suárd (el Sr.)
Arnoldi (Carolus)	Arnoldi (Carlos)
Arnoldi (Christophorus)	Arnoldi (Christophorus)
Arostegui (Benedicti Clement)	Arostegui (Benedicti Clement)
Arpíley (Petri Simonis)	Arpíley (Pedro Simonis)
Arrostegui (Theofomi Clement)	Arrostegui (Theofomi Clement)
Arroyal (Dr Leonor)	Arroyal (Leonor)
Artemidore (Daldiani)	Artemidore (Daldiani)
Arucia (Dr Gabriel)	Arucia (Gabriel)
Arzuego (Juan de)	Arzuego (Juan de)
Asaxino (Luca)	Asaxino (Luca)
Ascanii (Hesiodi)	Ascanii (Hesiodi)
Assio del Rio (D. Ignacio)	Assio del Rio (D Ignacio)
Astaga (Dr Felix de)	Astaga (Felix de)
Asteca (Dr Stefano)	Asteca (Stefano)
Astete (P. Gaspar)	Astete (P Gaspar)
Astor Guinguarboxeij (Antonius Joa)	Astor Guinguarboxeij (Antonio Joa)
Astruc (Atr.)	Astruc (Atr.)
A.T. Atayde (Vtmi D. Bernardi de)	A.T Atayde (Vtmi D Bernardo de)
Atreopagita (S. Dionisius)	Atreopagita (S Dionisius)
Aubert (Mr.)	Aubert (Mr.)
Auberteuil (Mr. Hillard)	Auberteuil (Mr Hillard)
Aueschi (Vaxon de)	Aueschi (Vaxon de)
Augusti (Antonini)	Augusti (Antonini)
Augusti Exnuri (Jo)	Augusti Exnuri (Jo)
Augustini (Antoni)	Agustín (Antoni)
Augustinus (Aurelius)	Agustín (Aurelius)
Aunmaci (Dr Dominici)	Aunmaci (Dominici)
Ausias March (el Poeta Atosense)	Ausias March (el Poeta Atosense)
autor	autor
Auxelii (Marci Imperatoris)	Auxelii (Marcos Imperatoris)
Auxelii (Victorii Sexti)	Auxelii (Victorii Sexti)
Avancini (P. Nicolás)	Avancini (P Nicolás)
Avendaño (D. Antonius Cabrera)	Avendaño (D Antonio Cabrera)
Avendaño (Ludovicus Velazquez de)	Avendaño (Luis Velazquez de)
Avendaño (Petri Núñez)	Avendaño (Pedro Núñez)
Aver Campy (Sieberry)	Aver Campy (Sieberry)
Averani (Joseph)	Averani (Joseph)
Avieni (Ruficini)	Avieni (Ruficini)
Avila (D. Francisci)	Avila (D Francisco)
Avila (D. Iph.)	Avila (D Iph.)
Avila (D. Pedro)	Avila (D Pedro)
Avila (Francisci)	Avila (Francisco)
Avila (Stephani)	Avila (Esteban)
Avila y Tunica (D. Luis)	Avila y Tunica (D Luis)
Axamburo (Dn Manuel Vicente)	Axamburo (Dn Manuel Vicente)
Axce ... (Juan de)	Axce (Juan de)
Axce Ótaloza (Joan ab)	Axce Ótaloza (Joan ab)
Axellano (Dn. Garcia Ramirez)	Axellano (Dn Garcia Ramirez)
Axellano (Dn. Luis a)	Axellano (Dn Luis a)
Axellano (P. F. Juan Salvador Bautista)	Axellano (P F Juan Salvador Bautista)
Axera (Dn. Joseph Lorenzo de)	Axera (Dn Joseph Lorenzo de)
Axiz (P. Fr. Luis)	Axiz (P Fr Luis)
Ayala (Balthasar)	Ayala (Balthasar)
Ayala (Juan Interian de)	Ayala (Juan Interian de)
Ayala y Atuloria (Manuel Ferriz)	Ayala y Atuloria (Manuel Ferriz)
Aymenich (Math.)	Aymenich (Math.)
Ayora Valmiso (Hernando de)	Ayora Valmiso (Hernando de)
Aythaud (Mr.)	Aythaud (Mr.)
Azagaa (D. Melchor de)	Azagaa (D Melchor de)
Azana, et Aznaca (Dn Francisco)	Azana et Aznaca (Dn Francisco)
Azanza (Dn Joseph de)	Azanza (Dn Joseph de)
Azeaci (Ferdinandi)	Azeaci (Ferdinandi)
Azevedo (Alphonsus de)	Azevedo (Alphonsus de)
Azevedo (Diego Manuel de)	Azevedo (Diego Manuel de)
Aznada (Fr. Pedro a)	Aznada (Fr Pedro a)
Aznada (Luis)	Aznada (Luis)
Aznada (P. Gabriel)	Aznada (P Gabriel)
Aznar (Dn. Bernardo Francisco)	Aznar (Dn Bernardo Francisco)
Azpilcueta (Martinus)	Azpilcueta (Martinus)
Baccalarii (Vincentii)	Baccalarii (Vincentii)
Bachius (Jo. Augustus)	Bachius (Jo Augustus)
Bachonii (Francisci)	Bachonii (Francisco)
Bachovii (Reinandi)	Bachovii (Reinandi)
Bacon (Thomas)	Bacon (Tomás)
Bacquetii (Jo.)	Bacquetii (Jo.)
Bactiae (Dn Gasparis)	Bactiae (Dn Gasparis)
Baiarte (Dn Juan)	Baiarte (Dn Juan)
Baili (D. Benito)	Baili (D Benito)
Baillet (Adrien)	Baillet (Adrien)
Balboa (D. Francisco)	Balboa (D Francisco)
Balde (Jacobi)	Balde (Jacobo)
Baldiviejo (Mão Joseph)	Baldiviejo (Mão Joseph)
Balduini (D.)	Balduini (D.)
Balduini (F. Antonii)	Balduini (F Antonio)
Balduini (Francisci)	Balduini (Francisco)
Ballegarte (El Abat)	Ballegarte (El Abat)
Ballenius (Guillelmus)	Ballenius (Guillelmus)
Ballermontanus (Nicolai)	Ballermontanus (Nicolás)
Ballettero (Juan Matheo)	Ballettero (Juan Matheo)
Balmaeda (D. Didacus de la Puente, et)	Balmaeda (D Didacus de la Puente et)
Balmain (P. Pablo Ignacio de)	Balmain (P Pablo Ignacio de)
Baluzzii (Stephani)	Baluzzii (Esteban)
Banconeius (Bartholomaeus Agricola)	Banconeius (Bartholomaeus Agricola)
Banduri (Dn Anselmi)	Banduri (Dn Anselmi)
Banega (Alep)	Banega (Alep)
Baptista (F Anton)	Baptista (Anton)
Baptistae (Jo)	Baptistae (Jo)
Baravona. De Soto (duis)	Baravona De Soto (duis)
Barba (Albazo Alonso)	Barba (Albazo Alonso)
Barberini (Staphaci)	Barberini (Staphaci)
Barbeyrac (Jo)	Barbeyrac (Jo)
Barbosa (Axi)	Barbosa (Axi)
Barbosa (Diego)	Barbosa (Diego)
Barbosa (Dr. Joseph)	Barbosa (Dr Joseph)
Barbosa (P. Augustini)	Barbosa (P Agustín)
Barbosa (Pedro)	Barbosa (Pedro)
Barbosa (Petri)	Barbosa (Pedro)
Barclai (Jo)	Barclai (Jo)
Barnabae (Hyeronimi)	Barnabae (Hyeronimi)
Barreda (D. Francisco)	Barreda (D Francisco)
Barreda (Fray Diego Gómez)	Barreda (Diego Gómez)
Barreda (Licenciado Chaves de)	Barreda (Licenciado Chaves de)
Barreiros (Gaspar)	Barreiros (Gaspar)
Barrera (Dn. Miguel de la)	Barrera (Dn Miguel de la)
Barrieni (M.)	Barrieni (M.)
Barrio Angulo (Gabriel Perez)	Barrio Angulo (Gabriel Perez)
Barriochii (Olai)	Barriochii (Olai)
Barriomevo (Garcial)	Barriomevo (Garcial)
Barros (Joam)	Barros (Joam)
Barroso (Bernardino)	Barroso (Bernardino)
Barthi (Gasparis)	Barthi (Gasparis)
Bartholi (P. Daniel)	Bartholi (P Daniel)
Bartolinis (Thomas)	Bartolinis (Tomás)
Bary (Jacobi)	Bary (Jacobo)
Bassi (Carlo)	Bassi (Carlo)
Bastida (P. Hernando de la)	Bastida (P Hernando de la)
Basurri (Rodexici)	Basurri (Rodexici)
Baudrano (Michaelis Antonii)	Baudrano (Miguel Antonio)
Baudy (Dominici)	Baudy (Dominici)
Baunquelli (Jo. Salom.)	Baunquelli (Jo Salom.)
Bautista de Castro (P. Fr. Manuel)	Bautista de Castro (P Fr Manuel)
Bautista (P. Mico Alomo)	Bautista (P Mico Alomo)
Baxatòi (Saltrana)	Baxatòi (Saltrana)
Baxlandi (Hadriani)	Baxlandi (Hadriani)
Baxoni... (Caesaris)	Baxoni (Caesaris)
Bayard (Chevalier)	Bayard (Chevalier)
Bayer... (Francisci Perez)	Bayer (Francisco Perez)
Bayó... (Gomezii)	Bayó (Gomezii)
Bazphii (Lazari)	Bazphii (Lazari)
Bazquez de Miranda (Fr. Alonso y San Yldefonso)	Bazquez de Miranda (Fr Alonso y Yldefonso)
Bazquez (Dn Miguel  Yelgo)	Bazquez (Dn Miguel Yelgo)
Bazquez, et Moxales (Dn Joachimi Josephi)	Bazquez et Moxales (Dn Joachimi Josephi)
Beami, y Català (D. D. Joseph)	Beami y Català (D D Joseph)
Beano (Miguel)	Beano (Miguel)
Beaumont (Madama de)	Beaumont (Madama de)
Becherem baub. (Jo)	Becherem baub (Jo)
Becheri (Jo)	Becheri (Jo)
Becmani (J.C.)	Becmani (J.C.)
Bedmar o Espinosa (Dn Ygnacio)	Bedmar o Espinosa (Dn Ygnacio)
Belarquez (Dn Joseph Luis)	Belarquez (Dn Joseph Luis)
Bellando (F. Nicolás)	Bellando (F Nicolás)
Bellarmine (Card. Robertus)	Bellarmine (Card Robertus)
Belleforest (Fran. M.)	Belleforest (Fran M.)
Bellengardi (Stephani)	Bellengardi (Esteban)
Bello (D. Benito Frz. M.)	Bello (D Benito Frz M.)
Bellugae (Petri)	Bellugae (Pedro)
Belseram (Famgefi)	Belseram (Famgefi)
Belthem (Salentiní)	Belthem (Salentiní)
Beltram (Excmo. Sr. D. Felipe)	Beltram (Excmo Sr D Felipe)
Beltrani (M. Francisci)	Beltrani (M Francisco)
Bembie (Petri)	Bembie (Pedro)
Bembo (M. Pietro)	Bembo (M Pietro)
Benavente (D. Jo.)	Benavente (D Jo.)
Benavente y Benavides (D. Cantoval)	Benavente y Benavides (D Cantoval)
Benavides (Ilmo Miguel Anto)	Benavides (Miguel Anto)
Benavides (Jo)	Benavides (Jo)
Benavides (Marcos Atantua)	Benavides (Marcos Atantua)
Benengeli (Cide Hamete)	Benengeli (Cide Hamete)
Bening (Jacobus)	Bening (Jacobo)
Bentivollo (Cardenal)	Bentivollo
Berardi (Carolus Sebastianus)	Berardi (Carlos Sebastianus)
Bercillomy (Jacoby)	Bercillomy (Jacoby)
Berganza (Fr. Francisco)	Berganza (Fr Francisco)
Berganza y Salzedo (Dn Sebastian)	Berganza y Salzedo (Dn Sebastian)
Bergazae (Francisci)	Bergazae (Francisco)
Berger (Jo Enrrici)	Berger (Jo Enrrici)
Bergier (M. L. Abbé)	Bergier (M L Abbé)
Bergier (Nicolas)	Bergier (Nicolas)
Bermudez de Pedraza (Licent. Fran.)	Bermudez de Pedraza (Licent Fran.)
Bernad (Dn. Fran.)	Bernad (Dn Fran.)
Bernal Diaz del Caso (D. D. Juan)	Bernal Diaz del Caso (D D Juan)
Bernal (Mr. Vital)	Bernal (Mr Vital)
Bernardi Valentini (Michaelis)	Bernardo Valentini (Miguel)
Bernardus (Sylberius)	Bernardo (Sylberius)
Bernarty (Joa)	Bernarty (Joa)
Beroaldi (Philp)	Beroaldi (Philp)
Berreggexi (Mathiae)	Berreggexi (Mathiae)
Berri (diz. Luis)	Berri (diz Luis)
Berruguete (Dn. Pedro)	Berruguete (Dn Pedro)
Bertán (Eocemo S. D. Felipe)	Bertán (Eocemo S D Felipe)
Berthault (Petri)	Berthault (Pedro)
Berti (Juan Lorenzo)	Berti (Juan Lorenzo)
Bertola (Dn. Jorge)	Bertola (Dn Jorge)
Bertrami (Bonaventurae Corneli)	Bertrami (Bonaventurae Corneli)
Beuchen (Cornelii)	Beuchen (Cornelii)
Beyer (Georgii)	Beyer (Jorge)
Bezant (Gabriel)	Bezant (Gabriel)
Bidermani (Jacobi)	Bidermani (Jacobo)
Bie (Jacques)	Bie (Jacobo)
Biefeld (El Daxon de)	Biefeld (El Daxon de)
Bierlinguis (Fredericus Guillelmus)	Bierlinguis (Fredericus Guillelmus)
Bing (El Almirante)	Bing (El Almirante)
Bioio (Thoma)	Bioio (Thoma)
Biscardi (Seraphim)	Biscardi (Seraphim)
Bixago (Gio Battista)	Bixago (Gio Battista)
Bixi (D. Juan Dantista)	Bixi (D Juan Dantista)
Bizot (Mr.)	Bizot (Mr.)
Blackstone (Mr.)	Blackstone (Mr.)
Blanca (Hieronimi)	Blanca (Hieronimi)
Blancharo (El Abate)	Blancharo (El Abate)
Blancus (D. Marcy Ant.)	Blancus (D Marcy Ant.)
Blasco de Lamiza (D. Vincentii)	Blasco de Lamiza (D Vincentii)
Blasco (Fran. Fernandez)	Blasco (Fran Fernandez)
Blazquez (Mayoralgo D. Juan)	Blazquez (Mayoralgo D Juan)
Bleda (Fr. Jacobi)	Bleda (Fr Jacobo)
Blondel (Mr.)	Blondel (Mr.)
Blount (Carolus)	Blount (Carlos)
Blount (Thomas Pope)	Blount (Tomás Pope)
Bobilli (Carolus)	Bobilli (Carlos)
Bocacio (Juan)	Bocacio (Juan)
Bocaluci (Jo. Antonii)	Bocaluci (Jo Antonio)
Bocenius (Francisci)	Bocenius (Francisco)
Bockerodt (Gotofredi)	Bockerodt (Gotofredi)
Boditeau (Pedro)	Boditeau (Pedro)
Boemius (Jo)	Boemius (Jo)
Bohmeii (Just)	Bohmeii (Just)
Boileau (Jacobi)	Boileau (Jacobo)
Boileau (Nicolas)	Boileau (Nicolas)
Boissat (Pierre)	Boissat (Pedro)
Bolduani (Pauli)	Bolduani (Pablo)
Bolero y Muñoz (Dr Joseph Manuel)	Bolero y Muñoz (Joseph Manuel)
Bolexo (De Didaci)	Bolexo (De Didaci)
Bolue (Jacobus)	Bolue (Jacobo)
Bolzami (Sibani)	Bolzami (Sibani)
Bombini (Pauli)	Bombini (Pablo)
Bonaxcii (Cleix)	Bonaxcii (Cleix)
Bondia (de Ambrosio)	Bondia (de Ambrosio)
Bonells (D. D. Jaime)	Bonells (D D Jaime)
Bonet (D. Pedro)	Bonet (D Pedro)
Bonet (Juan Pablo)	Bonet (Juan Pablo)
Boneta (Fr. Joseph)	Boneta (Fr Joseph)
Bonium (Rey de Persia)	Bonium (de Persia)
Bononia (D. Antonius)	Bononia (D Antonio)
Bonyexe (D. Carlos)	Bonyexe (D Carlos)
Bordazar y Artazú (Antonio)	Bordazar y Artazú (Antonio)
Bordelon (Loxemo)	Bordelon (Loxemo)
Borsiae (Hieronimi)	Borsiae (Hieronimi)
Borsiae (Santi Francisci)	Borsiae (Santi Francisco)
Bos (Lamberti)	Bos (Lamberti)
Bosarte (D'Isidio)	Bosarte (D'Isidio)
Bosch (D Andrea)	Bosch (Andrea)
Bosiny (Jo Gerardy)	Bosiny (Jo Gerardy)
Bosio (Jacomo)	Bosio (Jacomo)
Bosomi (Marc Zucr)	Bosomi (Marc Zucr)
Bosquieus (F. Filipus)	Bosquieus (F Filipus)
Bosuet (Jacobo Benigno)	Bosuet (Jacobo Benigno)
Botelli (Francisci)	Botelli (Francisco)
Boterij (Jo)	Boterij (Jo)
Botuaini Benaduci (Lorenzo)	Botuaini Benaduci (Lorenzo)
Bougeant (P.)	Bougeant (P.)
Bouger (dir)	Bouger (dir)
Bouligni (D. Juan)	Bouligni (D Juan)
Boulonjer (Ludovici)	Boulonjer (Luis)
Bouveler (Guillermo)	Bouveler (Guillermo)
Bouxau (Mr.)	Bouxau (Mr.)
Bove (Jo)	Bove (Jo)
Boxelli (P. D. Caroli)	Boxelli (P D Carlos)
Boxellii (Camillus)	Boxellii (Camillus)
Boxhornii (Marci Ziræii)	Boxhornii (Marcos Ziræii)
Boxitiy (Jacobus)	Boxitiy (Jacobo)
Brabo (Bartolomeus)	Brabo (Bartolomeus)
Brabo (Matheus)	Brabo (Matheus)
Brabo (Nicolaus)	Brabo (Nicolás)
Bracatii (Cardinalis)	Bracatii (Cardinalis)
Brachellii (Aldolphus)	Brachellii (Aldolphus)
Brackwallii (Antonii D.)	Brackwallii (Antonio D.)
Brancacho (Fr. Lelio)	Brancacho (Fr Lelio)
Brancalaso (D. Julio Antonio Sabenius)	Brancalaso (D Julio Antonio Sabenius)
Brandes (Jo.)	Brandes (Jo.)
Bratuti (D. Vicente)	Bratuti (D Vicente)
Braudlacht (Georgi)	Braudlacht (Georgi)
Braun (Georgii)	Braun (Jorge)
Bremond (F. Antoninus)	Bremond (F Antoninus)
Brenadan (D. Francisco Fabro)	Brenadan (D Francisco Fabro)
Brenomamus (Henricus)	Brenomamus (Henricus)
Bresthaupti (Cristiani)	Bresthaupti (Cristiani)
Brice (Mr.)	Brice (Mr.)
Brisonii (Barnabae)	Brisonii (Barnabae)
Bronchout (T.C.)	Bronchout (T.C.)
Bruck (Jacobi)	Bruck (Jacobo)
Bry... (Theodori M.)	Bry (Theodori M.)
Buagerdicii (Dr. Francisci)	Buagerdicii (Dr Francisco)
Bucelini (F. Gabrielis)	Bucelini (F Gabrielis)
Buchaltem (Belarthen)	Buchaltem (Belarthen)
Buchan. (Guilhelmo)	Buchan (Guilhelmo)
Buchananii (Georgii)	Buchananii (Jorge)
Budaei (Guillielmi)	Budaei (Guillielmi)
Buddei (Jo. Francisci)	Buddei (Jo Francisco)
